apples, drug, territory, bead, key, cabbage, minister, neck, jeans, income, credit, rifle, tomatoes, stem, needle, pigs, hour
-1, 1, ffff, $, 550705472, 9886, 0, 0.225311, 12775.796875, 0, 1, 1, 1, -883590, instrument, 102, -0.000283
1, 1, 56, V, 0, 12350184, 0, 0.002823, -1987.000000, 0, 0, 0, 1, 29, voice, 14, -3.749372
-32, 1, fffd, G, -11631527629041, 12692960, 1, -0.118439, -21.671875, 0, 0, 0, 1, 9859, space, 84, 59.416599
0, 1, 2, f, -2, 7, 0, -0.001297, -321.171875, 1, 1, 0, 1, -66950772, toothbrush, 4, -0.000195
0, 0, ffd9, u, 137226638, 66888, 0, -0.000397, -459.343750, 1, 0, 0, 0, -878, station, 2, -125.812538
1, 0, ffa3, %, 41583661070995285, 29, 1, 0.013153, -7185672.156250, 1, 0, 0, 0, -10177, , 124, 101.605980
24, 0, fffc, P, 1628, 483, 1, 1.639938, 23.156250, 1, 1, 1, 1, 0, insurance, 35, -0.376961
-3, 0, 1e1, }, 57797, 8, 0, 0.190643, 0.031250, 0, 0, 1, 1, -695, calendar, 111, 1.681180
12, 1, c, D, 173, 27770, 1, -1.722549, -0.406250, 1, 0, 0, 0, 3894350, lunchroom, 28, 0.000074
-1, 1, 19, b, -46986, 2, 1, 0.014725, 3830.828125, 1, 1, 1, 1, 1, actor, 17, 2.308365
-2, 0, fffc, }, -2903644740, 23282, 1, -0.000046, -18.671875, 0, 0, 0, 1, -8281868, zoo, 1, -2.163651
-1, 1, fffd, =, 16680748, 88, 1, 7068.833252, 1.375000, 0, 1, 1, 0, 1845, cloud, 10, 0.124818
18, 0, e145, 8, -41, 421, 0, 0.000046, 0.281250, 1, 1, 0, 0, 325299, addition, 1, -237.106415
-2, 0, a, W, -332, 1, 1, -0.000015, 20704.484375, 0, 0, 1, 0, -949400, dinner, 1, -15.556561
8, 1, 1280, l, 1919770, 63, 0, -0.000320, -0.187500, 1, 1, 1, 0, -3110, fiction, 205, 14.925344
-2, 0, cb55, ., 26736800954, 4, 0, -0.626007, 22097.609375, 1, 0, 1, 0, 3, cart, 6, -0.202300
0, 0, fffd, V, -556, 1183, 0, 0.000381, 0.296875, 0, 1, 1, 0, 246855, hot, 2, -0.015963
-34, 0, ffc3, b, 41630, 1430706, 0, -14141.848831, 0.109375, 0, 1, 1, 0, -8, earthquake, 1, 446.049072
-2, 0, 769, |, 88306, 295947, 1, -0.103012, 285011.421875, 0, 1, 0, 1, -32701909, spade, 121, -0.000155
0, 0, 1ece, 3, 1034196, 104, 0, 440.130463, -156.406250, 1, 0, 0, 0, 4498, aftermath, 29, 0.000283
-1, 0, ff6c, u, 0, 901, 0, 0.901932, -0.125000, 0, 0, 1, 1, 65, earthquake, 8, -111.102188
3, 0, ffff, a, -1815, 2535, 0, 329.659500, -291349.937500, 0, 1, 0, 0, -12430083, potato, 2, -0.000043
20, 1, 0, :, -8127951, 9766874, 0, 0.001297, -6442170.687500, 0, 1, 1, 1, 34765685, relation, 27, 0.000002
1, 0, fd8c, ;, 667376, 1430706, 0, -310.699280, 10.500000, 0, 0, 1, 0, 0, earthquake, 1, 446.049072
-4, 0, ffe6, 3, -29166804579138, 193484266, 0, -125.505875, -172843.046875, 0, 1, 0, 1, 2, field, 3, -0.000913
0, 0, ffe3, C, 1789667888231, 4833, 1, -1764.004242, 17.171875, 1, 0, 1, 0, 56344748, control, 8, 0.001838
3, 1, ff88, }, -32399281330, 84487385, 0, 0.014694, -251889.843750, 0, 1, 1, 0, 1676, wave, 84, -0.000112
-48, 0, 3, (, 135550782544160029, 23282, 1, -967.374435, -860.906250, 0, 0, 1, 0, 7, , 1, -2.163651
-1, 0, 84a, {, -129962, 958, 1, -6271.144470, 3871946.500000, 0, 1, 1, 0, 13, shoes, 2, -0.000828
-12, 1, fff5, B, 410656352482930, 1, 1, -0.005920, 0.203125, 1, 1, 1, 0, -76282636, farmer, 3, -0.064724
-1, 0, ffff, !, 213828711604, 430544051, 1, 0.003082, -1.703125, 0, 1, 1, 0, -38, government, 2, 0.000007
4, 1, e9d, J, 325534567, 9, 1, -0.003662, 0.406250, 0, 0, 0, 0, 25610016, mitten, 142, 570.281982
4, 0, feb2, a, 450, 43988, 1, 1.001816, 590.421875, 1, 1, 1, 1, -369028, ring, 10, -2.725285
-5, 0, 2, r, 1, 16303, 0, 24.263657, 127977.953125, 0, 1, 0, 0, 862, office, 25, -0.197563
-3, 0, 6, 1, -1692791194862983, 1917, 0, 254.741867, 16.500000, 0, 0, 0, 1, 157725165, wealth, 1, 0.069242
8, 0, 36, T, 408079403038, 0, 0, -0.000153, 2124.671875, 1, 1, 1, 1, 1726, afternoon, 1, -29.830807
-2, 1, ffff, ~, 66085801308694633, 290925786, 0, -0.003143, -3657313.375000, 1, 1, 1, 1, 269620968, lock, 1, 0.004668
-1, 1, fd11, N, 16327395, 0, 0, -265.549759, -22535.843750, 0, 1, 1, 0, -177613537, trees, 96, -0.000018
-3, 1, 16f, >, -4214862212, 55867, 0, 0.577820, 67451.265625, 0, 0, 1, 0, -134373, earth, 2, 83.018349
-7, 0, fffe, S, -1024599657, 1973401, 0, -0.000015, -885028.265625, 1, 1, 1, 1, -4398349, , 0, 0.002221
11, 0, ffff, c, 2066, 176473389, 0, 0.002884, -0.015625, 1, 1, 1, 1, 3, fiction, 205, 14.925344
-4, 0, 2bdc, s, 6221571287, 1731169226, 1, -0.003723, 721563.687500, 0, 0, 1, 0, -17, coil, 2, 0.133312
-5, 0, ffe2, a, -262782094090777, 310887804, 0, 6.646896, -172.109375, 0, 0, 1, 0, 933441637, army, 23, 0.234721
1, 1, 160a, s, 131269593661912, 3655898, 1, 12834.978760, 2575.281250, 1, 0, 0, 1, 1296970818, fireman, 2, 14.511703
0, 1, d05, _, -1063249, 54, 0, 7535.440170, -60782.062500, 1, 0, 1, 1, -298, leather, 1, 756.979980
5, 0, 259, Y, 14189071078339, 148073495, 0, 0.000931, -3.406250, 0, 1, 0, 1, -3323, wine, 13, -0.018673
-2, 0, fc97, *, -10696857, 426, 0, 7.584885, -11637.718750, 0, 1, 0, 1, -1, legs, 2, 0.211841
12, 0, fde2, &, 831851405756, 797461431, 0, -0.189240, -0.546875, 0, 1, 1, 1, -17923, attraction, 119, 0.000001
21, 0, 4191, l, -624287, 73929577, 0, 5768.881485, 1433.140625, 0, 0, 0, 1, 608, mom, 2, 80.213623
-31, 1, fe33, T, -7826534794463, 1, 0, -87.980453, -0.390625, 0, 1, 0, 0, 6342, church, 16, -3.140714
-4, 1, 2, &, -1, 8, 1, -0.078156, -443.656250, 1, 0, 1, 1, -18, song, 1, -0.459318
-81, 1, 1, 1, -59113490193031816, 3547603, 0, 0.001144, -5424466.296875, 1, 1, 1, 0, -10072319, mint, 25, -0.000045
0, 0, 1e1, g, 57797, 8, 0, 0.190643, 0.000000, 0, 0, 1, 1, -695, effect, 111, 1.681180
-1, 0, fff9, C, 1037150269705, 157574, 0, -931.036728, 0.078125, 1, 1, 0, 0, -2, war, 6, -0.000007
4, 0, d, L, 1384670394514332658, 1, 0, 0.021194, -0.015625, 0, 0, 0, 0, 65, sky, 4, -16.403545
42, 1, ff04, ?, 10640697781145, 11, 1, 0.012054, -4343.156250, 0, 1, 0, 1, 39181341, toad, 4, 0.000878
-2, 0, ffe4, g, -741097476580477, 98924, 0, -87.806274, 3.687500, 0, 0, 0, 0, 0, form, 156, 0.000095
-26, 0, fffe, =, -3477639176, 176473389, 1, -118.796478, 13.968750, 0, 0, 1, 1, -150007607, comparison, 1, 15.211925
10, 1, a497, F, 3188685, 115, 0, -0.001434, -0.859375, 1, 0, 1, 1, -3, trains, 60, -0.000609
8, 0, 36, 6, -923102273502037, 17051, 0, -0.000153, 0.000000, 0, 0, 0, 0, 1726, afternoon, 1, -33.885559
7, 0, 17, F, -1028080058, 75, 1, -3216.745087, 2637973.796875, 1, 0, 0, 1, 82, soda, 3, -299.249878
-1, 1, 6b6, S, -886939602753, 33, 1, 0.000183, 338833.750000, 1, 0, 1, 0, 840, songs, 59, 180.921570
-14, 0, fffe, l, 1147, 422, 1, -0.384995, 0.515625, 0, 1, 0, 1, 0, horn, 8, 0.002197
-3, 0, fffb, y, -1487840345, 1, 0, -0.196808, -1406.531250, 0, 0, 0, 1, -4096, , 4, -16.403545
0, 0, 971, g, -17164008666167563, 98924, 1, 0.006348, -17.718750, 0, 0, 0, 1, -29764153, form, 156, 0.000095
-8, 1, 2e, N, -94506961612, 2300220, 1, -2693.546768, 456467.656250, 0, 0, 1, 1, 29, summer, 12, -0.019088
25, 0, 1a1, |, 99552858894887, 14168755, 1, -1888.466171, -9015.734375, 0, 0, 1, 0, 1, calculator, 54, 0.000099
-2, 0, 35, ;, 889874, 2386574, 1, 0.000076, 0.421875, 0, 0, 1, 1, 517655727, knee, 229, 0.000005
0, 0, ffff, D, -1465156294834411, 316743, 1, -0.000259, -10759757.390625, 0, 0, 1, 1, 1572478, sponge, 32, 0.000013
13, 0, ffff, y, -14519312556, 1146097698, 1, 0.245377, 41493.125000, 0, 0, 1, 1, 543996, , 10, 0.000501
79, 0, 2c6, u, 133964378455693067, 47642, 1, -52.019653, 121.531250, 0, 0, 0, 1, 6484, , 0, 0.065696
3, 1, 7079, U, 8640222024, 362494734, 0, -0.293564, -6.078125, 0, 0, 0, 1, 0, blade, 62, 0.000420
12, 0, ffec, R, 291, 1850, 0, -0.044632, 0.000000, 1, 1, 1, 1, 7543, comparison, 3, 0.014277
-1, 0, ea02, I, -800, 5228, 1, 0.229126, -168842.921875, 1, 0, 1, 1, 439, earthquake, 112, -99.195892
12, 1, c, &, 75725494781785889, 27770, 0, -0.000015, -244782.812500, 1, 0, 0, 0, 22806731, lunchroom, 28, 0.000074
4, 0, f791, 8, -314987704, 28664354, 0, -0.000137, -239.171875, 0, 0, 1, 0, 39322, flavor, 5, -0.474238
-1, 1, e881, 0, 253865785377132748, 1351, 0, 0.627884, -0.203125, 0, 1, 0, 1, -792, arithmetic, 66, 320.083618
-23, 0, d, d, -173221545363, 159, 0, -0.000137, -439942.937500, 1, 0, 0, 0, -567, shock, 20, 0.000446
13, 1, 166, ~, 168811875965, 1023303993, 1, -0.000824, -0.015625, 1, 1, 0, 1, -513579932, ghost, 7, 0.001217
105, 1, 15, 7, 0, 26834241, 0, 0.000061, 62691.812500, 0, 1, 1, 0, -6962284, stranger, 173, -0.116289
2, 0, 1, v, -4985386198905816, 27958, 0, -0.000015, 0.500000, 1, 1, 0, 1, -1, experience, 19, 149.193176
80, 0, ffa2, J, 3217268, 1578258, 0, 4865.814087, -4.265625, 0, 0, 1, 1, -17435, skate, 1, 0.000101
29, 0, 6, U, -10777015972858750, 396763, 0, -5690.446014, 0.406250, 0, 0, 1, 1, 6170366, maid, 0, -7.692189
-2, 1, fe99, 0, -973403866015528, 10, 1, 3165.243149, -15756.062500, 0, 0, 0, 1, -773, cent, 2, -1.765410
-7, 1, ffde, 8, 24, 21538, 0, -0.012604, -0.187500, 0, 0, 0, 0, -1247, force, 1, -628.855408
-5, 0, ffff, I, 35506166337, 1351, 0, -0.004288, 14.343750, 0, 1, 0, 0, -390, attack, 66, 320.083618
24, 1, ed7, r, 119958054211134, 0, 1, -0.001099, 240.453125, 0, 0, 0, 0, 1606219871, queen, 1, 0.000000
3, 0, ff8e, W, -461393509586, 922, 1, -0.187607, -925.656250, 1, 1, 1, 0, 7516587, earthquake, 85, -0.000001
-38, 0, 8f9, Q, 1731746268040215064, 24, 1, -10.205643, -41448.968750, 0, 1, 1, 0, 491611722, country, 27, -0.000038
7, 1, dec, :, 39149849687922410, 430171, 1, -2323.404221, 107350.406250, 0, 1, 0, 1, 130369946, question, 16, 0.000058
11, 0, 61, V, 381, 13115676, 1, 14225.173569, -0.015625, 1, 1, 1, 0, 2, dime, 24, 5.613202
-2, 0, c, f, -87293378554544, 494358384, 1, 0.044540, 1951.500000, 1, 0, 1, 1, 1, clock, 14, -85.246574
-89, 0, 12, J, 64680475870032220, 134, 0, 4795.179733, -9860.687500, 1, 1, 0, 1, -97112122, sort, 20, 0.000001
-13, 1, cc, +, 104480542834806, 0, 1, -0.039902, -0.109375, 0, 1, 0, 1, 45704939, flock, 14, 0.000446
10, 1, 1, [, -25464995260020242, 348550262, 0, 2.998734, 0.000000, 0, 1, 0, 1, 6765382, change, 196, -0.027534
1, 1, 0, c, 7825999775, 378368, 0, -5.964157, 2018.171875, 1, 1, 1, 0, 88, quicksand, 4, 0.000734
0, 0, fffe, g, 265577643443, 31, 0, 0.163177, 35.515625, 1, 1, 1, 0, 46540, chess, 11, 0.067924
5, 0, f69, #, 229709482, 1347966, 0, 45.055954, -2257.796875, 1, 0, 0, 1, 494635, cow, 104, -0.000868
-1, 1, ff08, C, -8890787918969385, 441543821, 1, -0.281937, 2003.312500, 1, 0, 1, 0, 5, border, 11, 0.001567
-9, 0, 19d, B, 531139942, 3, 1, 2.071014, -3.203125, 0, 1, 0, 1, 20, wheel, 3, -2.341765
-1, 1, fd69, ^, 329724522814677256, 1128901463, 0, 0.220993, 0.250000, 1, 0, 0, 0, 13831443, adjustment, 11, -0.000002
-26, 0, ffff, U, -4218708257, 8415621, 1, 0.076782, -499.078125, 1, 1, 1, 0, -78, wilderness, 3, -0.000001
-2, 1, 3, U, -10785, 59078, 1, 66.018982, -5702.750000, 1, 1, 1, 0, -316, carriage, 8, 0.919966
-6, 1, 4d, M, -693274677484531, 763308, 1, -104.612000, 34729.640625, 0, 0, 0, 1, -995704378, school, 7, 898.176697
0, 1, d49d, 4, -152347121883, 15019, 1, -0.000198, -755856.687500, 0, 1, 0, 0, 569865, anger, 151, 0.000005
-9, 0, fd11, !, 3383201098534, 1321063, 0, 29.751923, 19.390625, 0, 0, 0, 0, -57968, trees, 105, -0.000018
-1, 0, 22, 6, -1281524583184, 2353, 1, 0.000031, -690607.953125, 1, 0, 1, 1, -747, calculator, 1, 0.000011
5, 1, fece, h, -1283211376837110, 77475, 1, -7.998489, 112715.359375, 1, 1, 0, 0, 42505103, holiday, 0, -0.000003
7, 0, fffe, &, -4348854709588839, 2353, 1, 0.000031, -690607.953125, 0, 1, 0, 1, -2130867623, plantation, 12, 0.000012
-7, 0, fffe, $, -3264594937, 422, 0, -2.328430, -0.421875, 0, 1, 1, 1, -4398349, discussion, 0, 0.002221
0, 0, fd5b, a, 2243302119514264, 1917, 0, 254.741867, 16.500000, 1, 0, 1, 1, -25150, match, 1, 0.069242
-1, 0, d, L, 64012, 1, 1, -0.196808, -0.015625, 1, 1, 0, 0, -4096, sky, 4, -16.403545
-1, 1, 3, H, 21, 1351, 0, 0.627884, -0.031250, 1, 1, 1, 0, 8206, hate, 66, 320.083618
-11, 0, a1, 3, -4040566243928465677, 1066181, 0, 0.339630, 0.156250, 1, 0, 1, 0, -520, joke, 0, -3.408721
-63, 0, ffcb, m, 388, 206, 0, -0.003143, 1007950.734375, 1, 1, 1, 0, -23205837, wilderness, 1, -0.000001
60, 1, 0, c, 163190805921544624, 31, 0, -0.000031, -176717.375000, 1, 0, 1, 1, -764, glue, 0, -1.652063
0, 0, c4c7, M, 7, 58, 0, 0.003708, 0.000000, 1, 1, 1, 1, -105093, maid, 16, -1.725766
-1, 0, f4ee, G, -3101, 103189437, 1, 2.604294, -3232128.203125, 1, 1, 0, 1, 0, move, 56, 0.000000
-2, 0, dc11, -, 154277, 5175, 0, 156.749405, -7715.093750, 1, 1, 1, 1, 1129716, badge, 11, 73.756302
0, 1, 10f, k, 21454, 1056, 1, 0.000504, -0.140625, 1, 1, 1, 0, 1, jellyfish, 7, -0.000058
4, 1, ffff, !, -138803140061392, 96021081, 0, 1032.727661, -177.156250, 0, 0, 0, 1, 4711269, boats, 45, 0.397831
-1, 0, 0, ;, -2457740420645553602, 2083044990, 1, 0.000000, -0.046875, 0, 0, 1, 0, -241, haircut, 97, -424.832672
-7, 1, 0, :, -647147040757406, 3404135, 1, 2826.393631, -6442170.687500, 1, 0, 1, 1, 992778, pipe, 27, 0.000002
-1, 1, ffea, a, -3, 20, 0, 4.100769, 3.953125, 0, 0, 1, 0, -165, spy, 5, 0.000030
-1, 0, 1347, o, -361675289786651981, 364170, 1, 0.000671, -3593721.671875, 0, 0, 1, 1, -111910223, advice, 0, -0.000360
-9, 0, fff9, I, -3542702619048170, 103, 1, 0.000870, 5375891.734375, 1, 0, 1, 0, 2869776, bit, 14, 0.000025
10, 1, ffff, [, 18, 893800, 1, 25.028824, -10405546.359375, 0, 1, 0, 1, -88554, answer, 0, 0.000023
-22, 0, fee8, c, -4069083488077, 351, 1, -13.268539, -1644840.718750, 1, 0, 1, 1, 0, desk, 107, 0.000016
-5, 0, fffc, 4, -48578, 14, 0, -0.004807, -264798.937500, 1, 1, 1, 0, -3690397, basketball, 1, 350.734558
-1, 1, 4b, /, 903666, 815156603, 1, -690.424255, -0.015625, 1, 1, 1, 0, -220708, support, 130, 0.000000
2, 0, ffa2, J, 4432789425230, 1578258, 1, 1.746750, -4.265625, 0, 0, 1, 1, -17435, measure, 1, 0.000101
0, 1, fe91, !, 157257603835519790, 829625, 1, 0.019592, 825035.312500, 1, 0, 1, 1, 323165, clouds, 1, 0.000283
0, 1, de67, ?, -146828967887195, 117142428, 1, 0.295334, 11.984375, 0, 1, 0, 0, 314, pancake, 30, 0.025846
-7, 0, f73d, c, 171, 232, 1, -0.000015, 11.671875, 0, 0, 0, 0, 117325, cat, 12, -0.104283
-110, 1, 50, &, -5985282976, 7186, 0, -0.002167, -0.031250, 0, 0, 0, 0, 9821, gun, 7, 54.294273
-30, 1, fff8, 7, 173, 904983215, 0, 0.002380, -32240.250000, 1, 0, 1, 0, -2, opinion, 94, 0.000196
-11, 0, ffff, F, 18812168516, 121, 1, 0.187958, 1.000000, 1, 1, 0, 0, 522446, glove, 67, 44.111534
-2, 1, 1f, C, -92765963133770800, 303665, 0, -556.998901, 6863026.265625, 1, 1, 1, 1, -1582157, pencil, 0, -0.000051
0, 0, 167, j, 11489, 425, 0, 0.000366, -3.015625, 1, 0, 0, 0, 175, plants, 1, -24.508329
-1, 1, 1, D, 105, 6014032, 0, 35.568024, -587.031250, 1, 0, 1, 1, -56, earth, 54, 0.108749
-128, 0, ffed, z, -260088755790, 23282, 1, -967.374435, -18.671875, 1, 1, 1, 0, 1679284, ship, 1, -2.163651
2, 1, fe5c, T, -52552, 72568288, 1, 5.837433, 32112.593750, 1, 1, 1, 0, -1671138040, comparison, 100, -0.000001
-2, 0, ffc2, ?, 25146857, 2854, 0, -0.000015, 0.000000, 1, 1, 0, 0, -489208120, celery, 1, 19.987572
-101, 0, fedf, R, 319421361469, 59078, 1, 66.018982, 0.531250, 1, 1, 1, 1, -87158345, recess, 8, 0.919966
0, 0, 0, 6, -1, 0, 1, -2346.513748, 1377843.796875, 0, 0, 1, 0, -1810, giraffe, 0, 3.002134
1, 1, 2, U, -27587757207085, 13565, 1, 122.018829, 15.937500, 0, 0, 0, 1, 171, building, 15, -3.622334
-5, 0, f14e, I, 238448014328822, 92555696, 0, 13.436783, -7368270.640625, 0, 1, 1, 0, 436439, patch, 29, 0.035887
-1, 1, ffff, C, 17941880389336358, 55043, 1, -503.862350, -19667.828125, 1, 0, 0, 0, -101830242, limit, 5, 0.000002
52, 0, ffff, 8, -1, 170938286, 1, 0.000000, -175.312500, 0, 0, 0, 1, -873769911, attraction, 17, -0.000024
20, 1, ffcc, _, 0, 235678, 0, 0.015137, 1249937.546875, 1, 1, 1, 1, -27236, giants, 7, 0.971444
40, 1, c634, ), 771888827, 2275, 1, 7.457626, -0.109375, 1, 1, 0, 1, -2017112, activity, 0, -0.000004
-11, 0, ffe5, R, 133593855447020, 1, 1, -0.042801, 807880.828125, 0, 1, 0, 1, -8, root, 3, -0.064724
1, 1, f181, ), 1370487041951, 25750, 1, 6324.234634, -0.265625, 0, 0, 0, 1, 1080680853, creator, 119, -0.002975
30, 1, 3, G, 1982926333045638843, 367584, 1, -145.532806, -714682.187500, 1, 1, 1, 0, -7565749, theory, 107, 0.000223
0, 1, a, @, 64245049267993, 440, 1, 40.282013, -933.343750, 1, 0, 0, 1, -243867, bubble, 94, -6.760867
-2, 0, 6, O, -2025778584615, 862713111, 0, 0.918335, -0.015625, 1, 1, 1, 0, 7417, selection, 11, -10.859272
11, 1, fe62, =, -32966028274, 12, 0, -0.000046, -0.218750, 0, 0, 0, 1, 6152, addition, 3, -0.785175
-5, 1, d7fe, :, 113, 3, 1, 0.006500, 62.812500, 0, 1, 1, 0, -184, clocks, 16, 0.000005
-4, 0, a1, _, -10395430130, 1, 1, 510.968018, -49035.468750, 1, 1, 1, 1, 118, soup, 1, 0.490487
17, 0, c, k, 6212438263, 102571970, 1, -2145.158356, 33400.703125, 1, 1, 1, 1, -254804, side, 210, -0.953549
-2, 1, 67c, w, -2145700369545971, 4, 1, 14217.133499, 35.703125, 0, 0, 1, 1, -125967048, ant, 1, 0.000002
0, 0, 15, ;, 316261, 2886774846, 0, -0.030884, -15.156250, 0, 0, 0, 1, 101900340, rabbit, 1, 0.344785
-1, 0, d2d4, 7, -973403866015528, 10, 0, 0.329391, -27.015625, 0, 1, 1, 0, -3, ground, 2, -2.163651
-5, 0, 0, -, 4371921, 14, 0, -4091.717087, -460863.640625, 0, 1, 1, 0, 20, basketball, 1, 350.734558
12, 1, dd4, }, 28, 119, 1, -2.025040, 2598.140625, 0, 0, 1, 1, 19132, end, 1, -0.937280
27, 1, 0, <, -12939967, 3915789682, 0, -0.074066, -29266.968750, 0, 0, 0, 0, -11, door, 163, -0.000970
21, 1, f, k, 586065913755145, 383284665, 0, 0.000000, 44464.843750, 1, 1, 1, 0, -110, art, 33, -0.012463
1, 1, ffe6, W, 301957, 105179, 1, -6396.281738, 97.562500, 1, 0, 1, 0, -3931, gun, 0, -0.001778
-3, 1, fc59, z, 727354144730723476, 110127212, 0, 0.314270, 3183.875000, 0, 0, 0, 0, 4004, ant, 1, 0.000050
0, 1, fdf7, C, -193389206, 14, 1, 0.149399, -0.421875, 0, 0, 0, 0, -51556, , 1, 0.000050
-1, 1, ff28, @, -5844648927017620, 1, 1, -0.176620, -1677.468750, 0, 1, 0, 1, -10890380, basin, 3, -0.064724
15, 1, 0, t, 1303849, 15, 1, 0.000183, 58755.625000, 1, 0, 1, 1, 85, mom, 1, -0.116289
-1, 1, ff08, k, -8890787918969385, 441543821, 1, -0.281937, 2003.312500, 0, 0, 1, 0, 5, , 11, 0.001567
-41, 0, 2bfe, W, 1161340431, 58, 0, -0.010971, -11976875.390625, 0, 1, 1, 0, -9981269, bath, 31, 0.000007
-6, 0, f3b7, J, 68045604, 1, 1, -0.045380, -585713.187500, 1, 0, 1, 0, -247871380, wall, 3, 0.000020
7, 1, 0, :, 39149849687922410, 430171, 1, -2323.404221, 107350.406250, 0, 1, 0, 1, 130369946, face, 0, 0.000055
-3, 1, e47f, L, -1035401148, 18578, 1, 1.000000, -7.750000, 1, 0, 0, 1, 0, voyage, 1, -0.095306
-31, 1, fe33, m, 31385428506689, 1, 0, 1730.021866, -6940.875000, 0, 1, 0, 0, 6342, distance, 16, -3.140714
-1, 1, fffd, =, 16680748, 88, 1, 7068.833252, 1.375000, 1, 1, 1, 0, 1845, cloud, 10, 0.124818
-2, 1, 9, P, 406485642, 95691, 0, -1.518311, -142246.718750, 1, 1, 0, 1, 0, scene, 10, -0.000000
