apples, drug, territory, bead, key, cabbage, minister, neck, jeans, income, credit, rifle, tomatoes, stem, needle, pigs, hour
5, 0, 1f2f, Y, 1078383406552975806, 23, 1, 0.000092, 50203.781250, 1, 1, 0, 0, -187, goat, 2, -698.207214
31, 1, 1f65, E, 4222009799288376667, 178303784, 0, 1.634613, 164389.843750, 1, 0, 1, 1, 1984774949, tray, 112, -0.005152
6, 1, e, @, -1696491, 149, 1, 0.000000, 39585.921875, 1, 0, 1, 0, -15908, writing, 204, -0.002815
-10, 1, a, a, 437702294524, 438873, 1, -97.276428, 17.609375, 1, 0, 0, 0, 1643, feather, 62, 23.532265
-5, 0, 1, i, -535832931488, 178303784, 0, -0.001526, -26581.796875, 1, 1, 1, 1, 467, tray, 10, -0.005152
-17, 0, ffeb, B, 3, 747991578, 1, 269.967316, 351310.703125, 1, 0, 1, 1, 1, , 1, -0.005152
8, 0, 4, C, -28050989673, 23, 1, -61.506958, 1.000000, 0, 1, 0, 0, -187, rain, 2, -698.207214
-19, 0, fffe, j, 14, 0, 0, -0.001022, 0.000000, 0, 1, 1, 0, -2, loss, 116, -23.026089
5, 1, 177, G, -8, 227639133, 0, -2800.966919, 148.015625, 0, 0, 1, 1, 91201467, attraction, 17, 3.203174
6, 0, 1912, l, -2316386371165, 2061931076, 1, 1055.145370, -312.093750, 0, 1, 0, 1, 21025737, jar, 3, 0.013803
-52, 1, 1a, v, 6545926658469181008, 13148305, 0, -0.000046, 1535437.500000, 1, 1, 1, 0, 25, crime, 18, -3.540345
-17, 0, 5c0, i, 3, 178303784, 0, -0.001526, -26581.796875, 1, 1, 0, 1, 467, tray, 10, -0.005152
-16, 0, e604, n, 437702294524, 1073, 0, -97.276428, 16376153.171875, 1, 0, 0, 0, 1523, bag, 19, 714.330872
60, 0, f398, N, -753, 13, 0, 1635.751190, -10898.812500, 1, 0, 0, 0, -889511768, plantation, 1, 0.000001
31, 1, 177, B, 576, 712585850, 0, -0.001190, 484.078125, 0, 0, 0, 0, -5705206, eggs, 18, 1.000000
15, 1, 30d, 7, 440349156109928651, 3, 1, 0.118286, 34.984375, 0, 0, 1, 1, -2957, weight, 10, 0.000001
15, 0, fd49, h, -11054982387521, 72895, 1, 1.000000, -289371.015625, 0, 0, 1, 0, 4003711, visitor, 30, 0.002428
-4, 1, 1f2f, ^, -6886627886607101597, 22037559, 1, -0.001083, 0.000000, 1, 1, 1, 1, -12, quill, 0, -23.026089
0, 1, 1f2f, R, 1078383406552975806, 22037559, 1, -0.001083, 15.953125, 1, 1, 1, 0, -13874486, toothpaste, 2, -698.207214
-123, 1, fffa, j, 941834943346, 13148305, 0, -0.000046, 7.921875, 1, 0, 0, 0, -7, question, 18, -3.540345
7, 1, 1a, s, 9, 632813621, 0, 0.282196, 102.890625, 1, 0, 1, 1, 25, mark, 18, -3.540345
-23, 0, fff8, B, -1799616126246, 3938720, 1, -6273.186554, -43.718750, 0, 0, 0, 1, -2521324, loss, 3, 0.190997
-17, 1, fffa, R, 1951965742889932, 632813621, 0, 0.043350, -347.609375, 1, 1, 1, 1, -11664, rub, 15, -3.540345
60, 0, ff92, 6, 55, 1, 0, 703.605942, -10898.812500, 1, 1, 0, 0, -889511768, pig, 17, 0.000002
-1, 0, e507, *, 908729651497, 438873, 0, -0.000031, 17.609375, 0, 0, 1, 0, 63414602, , 62, 23.532265
0, 1, ffff, j, -9044603138819, 21, 1, -12.333054, 0.000000, 0, 0, 0, 0, 6, loss, 1, -3.540345
6, 1, e, @, -58994507924, 960229, 1, -10815.735992, 5.093750, 0, 0, 1, 0, 0, writing, 211, -0.000033
-1, 0, e507, #, 1227586757, 438873, 0, -0.000046, 17.609375, 0, 0, 1, 0, 63414602, , 62, 23.532265
-23, 0, fff8, l, -2316386371165, 2061931076, 1, 1055.145370, -14970746.203125, 0, 1, 1, 1, -2521324, plot, 3, 0.013803
-57, 0, 1a, R, 6545926658469181008, 632813621, 0, 0.043350, -214847.031250, 0, 0, 0, 1, -1391312619, food, 15, -3.540345
6, 1, e, -, -58994507924, 960229, 1, -121.764999, 5.093750, 1, 0, 0, 0, 0, baseball, 211, -0.000033
31, 1, 177, B, -1799616126246, 712585850, 0, 0.010269, -412.437500, 1, 0, 0, 0, -2521324, , 18, 1.000000
15, 0, 1eb4, h, -11054982387521, 72895, 1, 1.000000, -4060.437500, 0, 1, 0, 0, 4003711, visitor, 30, 0.002428
3, 1, f75e, <, -17076302030841, 261392, 1, 7663.330688, -570314.203125, 0, 0, 1, 0, -16002597, station, 90, -0.239194
0, 0, 1a9e, <, -3748708244578, 4599709, 1, 7663.330688, -398.125000, 1, 1, 0, 0, -3141410, station, 5, -0.059769
0, 0, ff92, >, -2, 1, 1, 703.605942, 232.750000, 1, 0, 0, 0, 14303, structure, 25, 0.000002
-7, 0, 0, Y, -3748708244578, 4599709, 1, -0.303787, 0.109375, 0, 1, 0, 0, -29, lace, 5, -0.059769
